Report Generation Time , 31_08_2014_14_35_39
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
1, 500, 1, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDPVRP/pr01, 2070.494265, 2070.494265, 2070.494265, 1 
benchmark/MDPVRP/pr02, 4154.614161, 4154.614161, 4154.614161, 1 
benchmark/MDPVRP/pr03, 5088.616794, 5088.616794, 5088.616794, 1 
benchmark/MDPVRP/pr04, 6732.254008, 6732.254008, 6732.254008, 0 
benchmark/MDPVRP/pr05, 7571.016897, 7571.016897, 7571.016897, 0 
benchmark/MDPVRP/pr06, 8699.877049, 8699.877049, 8699.877049, 0 
benchmark/MDPVRP/pr07, 4921.301249, 4921.301249, 4921.301249, 1 
benchmark/MDPVRP/pr08, 7660.563445, 7660.563445, 7660.563445, 1 
benchmark/MDPVRP/pr09, 9679.497880, 9679.497880, 9679.497880, 1 
benchmark/MDPVRP/pr10, 12181.410609, 12181.410609, 12181.410609, 0 

ELAPSED TIME : 0 minutes 22 seconds
